ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,SMT Type,Value,description,image,link,pps,subpart_no
1,WIMA 100nF,"C1, C2, C3, C4, C6, C7, C8, C9, C23",CAP- 2.5*4.6*7,9,FKP0D002200B00HSSD,,Mouser,,,2,,numaxim,,220pf,,,,100pf,
2,1k,R13,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,,
3,100k,"R12, R14, R23",R0805,3,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,,
4,10k,"R15, R16, R17, R18, R19, R20, R21, R22",R0805,8,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,,
5,0.1uF,"C5, C10, C11, C12, C15, C22",C0805,6,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,,https://item.szlcsc.com/373011.html,,
6,1uF,"C13, C21",C0805,2,,,,,,2,C0805_L2.0-W1.3-H1.3,LCSC,,,,,https://item.szlcsc.com/373011.html,,
7,10nF,"C14, C20",C0805,2,,,,,,2,C0805_L2.0-W1.3-H1.3,LCSC,,,,,https://item.szlcsc.com/373011.html,,
8,10uF,"C16, C19",C0805,2,?,,,,,2,C0805_L2.0-W1.3-H1.3,SparkFun,,,Capacitor,,https://item.szlcsc.com/373011.html,,
9,100pF,"C17, C18",C0805,2,?,,,,,2,C0805_L2.0-W1.3-H1.3,SparkFun,,,Capacitor,,https://item.szlcsc.com/373011.html,,
10,BZT52C9V1-TP,"D1, D2, D3, D4, D5, D6, D7, D8",SOD-323_L1.7-W1.3-LS2.5-RD,8,BZT52C7V5S-7-F,DIODES(美台),LCSC,C343614,0.044,2,SOD-323_L1.7-W1.3-LS2.5-FD,LCSC,,,,,https://img.jlc.com/pdf/applyPasteComponent/2021-04-20/390362A/6f25ed4711644192b46323c806fc55eb/1020-007045-BAP70-03.pdf,,
11,680k,"R1, R2, R3, R4, R5, R6, R7, R8",R0805,8,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,,
12,X4611WV-04I-C28D40,"H1, H2, H3",HDR-TH_4P-P2.00-V-M,3,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.063,4,HDR-TH_4P-P2.00-M-LI-1X4P,LCSC,,,,,https://item.szlcsc.com/562479.html,,
13,X4611WV-05I-C28D40,"H4, H5",HDR-TH_5P-P2.00-V-M,2,X4611WV-05I-C28D40,XKB Connectivity,LCSC,C706994,0.064,5,HDR-TH_5P-P2.00-M-LI-1X5P,LCSC,,,,,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,
14,1M,"R9, R10, R11",R0805,3,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,,
15,TL072_SMD,U6,SO08,1,,,,,,8,,rossgrady,,,,,,,1
16,1N5819,"D9, D10",SOD-123_L2.8-W1.8-LS3.7-RD,2,1N5819HWQ-7-F,Diodes Incorporated,LCSC,C460770,0.154,2,SOD-123_L2.8-W1.8-LS3.7-RD,LCSC,,,,,https://item.szlcsc.com/301422.html,,
17,Ferrite,"F1, F2",R0805,2,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,,https://item.szlcsc.com/142685.html,,
18,HDR-M-2.54_1x1,"GND, LED-V, 8V",HDR-M-2.54_1X1,3,,,LCSC,C81276,0.007,1,HDR-M-2.54_1x1,LCEDA_Lib,,,,,,,
19,HDR-IDC-2.54-2X4P,P1,IDC-TH_8P-P2.54-V-R2-C4-S2.54,1,IDC Box 2X4 2.54MM,BOOMELE,LCSC,C9135,0.082,8,HDR-IDC-2.54-2X8P,立创EDA官方封装库,,,,//image.lceda.cn/szlcsc/C9135.jpg,https://item.szlcsc.com/9658.html,,
20,IDC Box 2.54mm 2X5P,P2,EURO_PWR_HEADER_LOCK,1,IDC Box 2.54mm 2X5P,BOOMELE,LCSC,C5665,0.071,10,,rossgrady,,,,//image.lceda.cn/szlcsc/C5665.jpg,,,
21,CD4028BM96,U1,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CD4028BM96,TI,LCSC,C131484,0.306,16,SOIC-16_L9.9-W3.9-H1.8-LS6.0-P1.27,官方封装库,Extend,,,,https://item.szlcsc.com/241229.html,,
22,DG408DY-E3,U2,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,DG408DY-E3,VISHAY,LCSC,C76447,1.823,16,SOIC-16_L9.9-W3.9-H1.8-LS6.0-P1.27,官方封装库,Extend,,,//image.lceda.cn/szlcsc/C76447.jpg,https://item.szlcsc.com/241229.html,,
23,LM339N/NOPB,"U3, U4",SOIC14,2,LM339N/NOPB,Texas Instruments,LCSC,C352852,1.613,14,,LCSC,,,,,,,
24,NCV2951CDR2G,"U5, U7",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,NCV2951CDR2G,ON(安森美),LCSC,C603885,0.77,8,SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27,LCSC,,,,,https://so.szlcsc.com/global.html?c=&k=C9843,,
25,1M,"VR1, VR2",PV36W-MULTITURN-TRIMMER,2,PV36W102C01B00,Bourns,Mouser,81-PV36W102C01B00,,3,,Sikander,,,,,,,
